datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,snow,windspeed,winddir,visibility,uvindex,sunrise,sunset,conditions,description,icon
2/7/2018,7.7,-0.7,2.1,5.6,-7,-2.3,80.9,2.189,100,58.33,0,29.4,22.3,14.1,1,2/7/2018 6:59:42 AM,2/7/2018 5:21:09 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
2/8/2018,2.7,-2.8,-0.3,1,-7,-3.7,56.4,0.464,100,8.33,0,18.2,241.8,16,6,2/8/2018 6:58:33 AM,2/8/2018 5:22:23 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain
2/9/2018,3.4,-2.2,0,2.2,-7,-3.5,61.6,0,0,0,0,16.6,271,16,5,2/9/2018 6:57:23 AM,2/9/2018 5:23:37 PM,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
2/10/2018,10.5,3.4,6.6,10.5,2.6,5.7,87.6,8.703,100,45.83,0,14.4,309.7,12.6,3,2/10/2018 6:56:12 AM,2/10/2018 5:24:50 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2/11/2018,15.9,6.2,10.6,15.9,4.9,9.8,96.3,28.096,100,87.5,0,20,231,13.2,1,2/11/2018 6:54:59 AM,2/11/2018 5:26:04 PM,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
2/12/2018,16.9,2.1,8.3,16.9,-0.6,7.1,58.6,1.804,100,12.5,0,14.6,320.3,16,4,2/12/2018 6:53:45 AM,2/12/2018 5:27:17 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2/13/2018,4.2,-1.3,1.1,2.2,-6.3,-2.3,55.5,0.464,100,8.33,0,20,67.7,15.9,6,2/13/2018 6:52:29 AM,2/13/2018 5:28:30 PM,"Snow, Rain",Clear conditions throughout the day with afternoon rain.,rain
2/14/2018,11.1,1.7,6.1,11.1,-1.5,4.2,68.2,0.037,100,8.33,0,14.4,247.6,16,5,2/14/2018 6:51:13 AM,2/14/2018 5:29:43 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2/15/2018,14.4,6.8,10.2,14.4,5.2,9.5,86.3,1.387,100,33.33,0,12.9,257.6,14.1,2,2/15/2018 6:49:55 AM,2/15/2018 5:30:56 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
2/16/2018,13.9,3.3,10.6,13.9,0.7,10.2,79.9,2.706,100,62.5,0,31.5,237.1,14.2,2,2/16/2018 6:48:36 AM,2/16/2018 5:32:08 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2/17/2018,4.9,-1.2,1.7,2.8,-3.3,-1.2,63.7,1.615,100,29.17,1,19.9,39.5,13.7,7,2/17/2018 6:47:15 AM,2/17/2018 5:33:20 PM,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow
2/18/2018,9.2,1.1,4.7,8.7,-2.5,3.2,64,1.245,100,25,0.6,14.7,274.5,15.7,7,2/18/2018 6:45:54 AM,2/18/2018 5:34:32 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow
2/19/2018,8.9,3.3,6.5,8.9,0.7,5.1,76.2,0.525,100,16.67,0,13,209.1,14.1,4,2/19/2018 6:44:31 AM,2/19/2018 5:35:43 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
2/20/2018,20,6.8,13,20,6.1,12.4,85.4,0.464,100,8.33,0,15,258.8,10.1,5,2/20/2018 6:43:08 AM,2/20/2018 5:36:55 PM,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
